"question_id","question","answer"
"1","What is ADHD?","ADHD is a neurodevelopmental condition involving differences in attention, impulse control, and activity regulation."
"2","What does ADHD stand for?","Attention Deficit Hyperactivity Disorder."
"3","Is ADHD a real medical condition?","Yes, it is recognized by major medical and psychological organizations worldwide."
"4","Is ADHD a mental illness?","It is classified as a neurodevelopmental disorder, not a mental illness in the traditional sense."
"5","When does ADHD begin?","Symptoms typically begin in childhood, often before age 12."
"6","Can ADHD continue into adulthood?","Yes, many people have ADHD throughout their lives."
"7","Is ADHD common?","Yes, it affects millions of children and adults worldwide."
"8","Are there different types of ADHD?","Yes, inattentive type, hyperactive impulsive type, and combined type."
"9","Can ADHD change types over time?","Yes, symptoms often shift with age."
"10","Is ADHD the same as ADD?","ADD is an older term now included under ADHD."
"11","What causes ADHD?","It involves genetics, brain development differences, and neurotransmitter regulation."
"12","Is ADHD genetic?","Yes, it has a strong hereditary component."
"13","Which brain areas are involved in ADHD?","The prefrontal cortex, basal ganglia, and cerebellum are commonly involved."
"14","What neurotransmitters are linked to ADHD?","Dopamine and norepinephrine."
"15","Is ADHD caused by poor parenting?","No, parenting does not cause ADHD."
"16","Does sugar cause ADHD?","No, sugar does not cause ADHD."
"17","Can brain scans diagnose ADHD?","No, diagnosis is based on clinical evaluation."
"18","Is ADHD related to delayed brain development?","Some brain regions may mature more slowly."
"19","Does ADHD affect executive function?","Yes, executive function challenges are central to ADHD."
"20","Is sleep regulation affected in ADHD?","Yes, sleep and circadian rhythm differences are common."
"21","What are inattentive symptoms?","Difficulty focusing, forgetfulness, and disorganization."
"22","What are hyperactive symptoms?","Restlessness, excessive movement, and difficulty staying still."
"23","What are impulsive symptoms?","Interrupting, acting without thinking, and impatience."
"24","Can ADHD include hyperfocus?","Yes, intense focus on interesting tasks is common."
"25","Does ADHD affect emotional regulation?","Yes, emotions can feel intense and hard to manage."
"26","Does ADHD affect time perception?","Yes, many experience time blindness."
"27","Can ADHD cause chronic lateness?","Yes, due to planning and time management challenges."
"28","Does ADHD affect memory?","Working memory is often affected."
"29","Can ADHD cause decision paralysis?","Yes, especially with many choices."
"30","Is boredom physically uncomfortable for people with ADHD?","Often, yes."
